username,text,thumbnail_title,thumbnail_url,tweet_url,created_at,retweets,likes,views
NatWest International,"Be on your guard when shopping online! 🛍️ 

Fraudsters might advertise products at discounted &amp; tempting prices or claim to have 'limited availability', but once a payment has been made the products never arrive; because they don't exist.

[1/2] https://t.co/LIGImoWH82",,,[],2025-01-17 11:00:01+00:00,0,2,99
Jenny Williams,"@NatWestBusiness Submitted a business bank account application, but mistyped a phone number for one of the signatories…is there a way I can edit this without enduring an estimated 37 minute wait on the telephone please? Thanks for any help you can offer!",,,[],2025-01-07 10:56:52+00:00,0,3,43
Jenny Williams,@NatWestBusiness Are there any magic words that lead to being put through to an agent?,,,[],2025-01-07 11:02:14+00:00,0,1,17
Kens Auto Spares,@NatWestBusiness is it acceptable to be waiting on hold for 1 hr to chase up a fraud report?,,,[],2024-12-05 13:07:24+00:00,0,5,50
NatWest Business,"@Kens_Auto_Spare Good afternoon,

Thank you for your message.

I am sorry to hear that the wait time to speak to the team is so high, they are experiencing extremely high demand at this time. 

Rest assured, your call will be answered soon.",,,[],2024-12-05 13:16:49+00:00,0,6,51
NatWest Business,"For Global Entrepreneurship Week 2024 we spoke to Lily Wolstenhome, an entrepreneur with the NatWest Accelerator.

Read the full interview: https://t.co/Z2M6pfzqhc

#FemaleEntrepeneur #Entrepreneur #GEW2024 https://t.co/DQCCXwT8qL",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/gew-2024-the-manchester-start-up-taking-on-greenwashing.html', 'url': 'https://t.co/Z2M6pfzqhc', 'indices': [140, 163]}]",2024-11-22 14:42:10+00:00,2,2,888
Michael Hawkins,@McAfee You have yet again charged my UK debit card (for the 5th year running) with an annual fee for a service I have not received! No one in your organisation can trace the account yet every single year you bill me! Your company is the biggest SCAM in history! @NatWestBusiness,,,[],2024-11-21 21:33:39+00:00,0,0,39
ravisagar,"Unfortunately not the best experience with Natwest UK bank @NatWest_Help It has been two months and they can't setup a business account.

They entered wrong date of birth in the application despite being an existing customer and can't easily fix their own mistake.",,,[],2024-11-20 12:18:48+00:00,0,0,140
NatWest Business,"The Autumn Budget was bigger than any in recent memory and delivered a combination of targeted investments in the UK and tax hikes. Will the former outweigh the latter in getting businesses investing? 

Read our take here 👇https://t.co/Y9PKWPsDcl

#ukeconomy #autumnbudget https://t.co/oZ9rJDRf4z",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/economics/economic-outlook/the-uk-autumn-budget-2024-will-it-get-businesses-investing.html', 'url': 'https://t.co/Y9PKWPsDcl', 'indices': [223, 246]}]",2024-11-01 15:00:02+00:00,1,1,753
ravisagar,@NatWestBusiness I am trying to get a business account opened. It has been 45 days and your agents are taking lot of time to open an account. Could you please help?,,,[],2024-11-13 10:07:37+00:00,0,0,58
Sarah Richardson,Cleared my Internet browsing history (as instructed) and still @NatWest_Help won't let me in!!! Pain of the hills. This was an intermittent problem at the end of last week. Why is it still happening?,,,[],2024-11-11 12:22:10+00:00,0,0,54
vee8design,@NatWest_Help app down…again,,,[],2024-11-10 09:15:13+00:00,0,0,233
NatWest Business,"@vee8design Hi  👏
  
How are you today? 
 
We're aware of the an issue and our technical teams are looking into this. There is no timescale for a resolution at this stage, though the team will be working to resolve this ASAP. 
 
(1/2)",,,[],2024-11-10 10:09:59+00:00,0,0,117
NatWest Business,"🧰 How might the Chancellor’s Budget deliver for UK businesses and shape the economic outlook? 👇

Join our interactive webinar on Thursday 31 October at 4PM to find out! 

REGISTER TODAY: https://t.co/mIPLwOnnLd

#AutumnBudget #UKEconomy https://t.co/EvXiu1XaeO",,,"[{'display_url': 'spkl.io/6013fribS', 'expanded_url': 'http://spkl.io/6013fribS', 'url': 'https://t.co/mIPLwOnnLd', 'indices': [187, 210]}]",2024-10-29 16:29:04+00:00,3,0,616
CrayCray,@NatWestBusiness @NatWest_Help @TheFCA can you please tell me why my disabled mother is in tears because you won’t let her draw her own money out? She was refused access to her OWN money as they want proof of what she’s spending her OWN money on!!! Like wth has that got to do,,,[],2024-10-28 13:28:48+00:00,0,2,62
xoxDawniexox 💎,Has anyone else ever been randomly sent 18 years ( so far ) of bank statements from @NatWest_Help @NatWestBusiness @NatWestGroup Over 4000 pieces of paper in over 20 packages. I have never requested these. https://t.co/15ZXTeL07J,,,[],2024-10-24 14:53:03+00:00,0,1,1818
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while confidence in growth continues. 

There's lots more important insight for SMEs in the report: https://t.co/SZueAtlvI6 https://t.co/IKNrtbe1ub",,,"[{'display_url': 'spkl.io/6011fR2hU', 'expanded_url': 'http://spkl.io/6011fR2hU', 'url': 'https://t.co/SZueAtlvI6', 'indices': [210, 233]}]",2024-10-24 13:44:02+00:00,1,0,464
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while new work and employment numbers continued to grow. 

There's lots more important insight for SMEs in the report: https://t.co/2E5XGb6AHj https://t.co/0FjctcGlAX",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/sme-growth-tracker-new-business-recruitment-continue-to-grow.html', 'url': 'https://t.co/2E5XGb6AHj', 'indices': [229, 252]}]",2024-10-23 10:11:01+00:00,2,1,361
Beki@RobinHood,@NatWest_Help Struggling to log into Bankline and constantly get an error message. Is it down at the moment?,,,[],2024-10-22 06:30:42+00:00,0,0,232
NatWest Business,"@RobinHoodPark If you see the service unavailable message (or receive an error message) when logging on outside of these times, please clear your browser’s cache and cookies before trying again

2/3",,,[],2024-10-22 06:38:19+00:00,0,0,47
NatWest Business,"@RobinHoodPark Good morning 👋 I have double checked, I can see the team had been making some improvements over the weekend, but should be working again now.

1/3",,,[],2024-10-22 06:38:05+00:00,0,0,40
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while new work and employment numbers continued to grow. 

There's lots more important insight for SMEs in the report: https://t.co/MuG9w5eA07 https://t.co/XhkiJGE7Aj",,,"[{'display_url': 'spkl.io/6011fRdDv', 'expanded_url': 'http://spkl.io/6011fRdDv', 'url': 'https://t.co/MuG9w5eA07', 'indices': [229, 252]}]",2024-10-21 13:08:23+00:00,2,0,362
NatWest Business,"Team GB sprinter Ashleigh Nelson shared what Black History Month means to her, how pride drives her, and why business owners should take pride in their discipline.

Read her entertaining interview here: https://t.co/e8j7LKuvVW https://t.co/T1Mr5LwaGO",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/ashleigh-nelsons-pride-and-passion-for-black-history-month.html', 'url': 'https://t.co/e8j7LKuvVW', 'indices': [203, 226]}]",2024-10-14 10:35:02+00:00,0,1,378
Hackney Bike Fit,"I don’t get this. For my benefit and to “help keep me financially secure”, my bank is halving my overdraft limit 

Why does this help me?

I rarely use it, it’s there for emergencies. Don’t make out you’re doing this for my benefit @NatWest_Help https://t.co/jcUl9swSd6",,,[],2024-10-07 14:35:29+00:00,1,8,329
NatWest Business,"@HackneyBikeFit Hi there 😊 Ah yes, if you want to come into our DM here with your first name, sort code and post code, we can take a look into things and provide a bit of clarity - Tara",,,[],2024-10-07 14:43:08+00:00,0,0,44
Boyley,"@NatWest_Help website and app both down, any idea when service is likely to be resumed?",,,[],2024-10-05 07:30:54+00:00,0,0,590
NatWest Business,"The latest report from Social &amp; Community Capital shows UK social enterprises benefited from a £2m boost facilitated by the charity, set up by NatWest in 1999.

Read the highlights of the report and download the full version here:

https://t.co/OmIAtbvTad https://t.co/cYUGp1b054",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/scc-report-shows-uk-social-enterprises-benefited-from-2m-boost.html', 'url': 'https://t.co/OmIAtbvTad', 'indices': [236, 259]}]",2024-09-25 10:05:24+00:00,2,1,667
Adam Parkins,@NatWestBusiness Is bankline down or having issues?,,,[],2024-09-19 15:45:09+00:00,0,1,472
Adam Parkins,"@NatWestBusiness They shut at 5pm, as a bank you are pretty special and not in a good way. I've got 17 staff to pay, how do you propose I do it?",,,[],2024-09-19 16:19:40+00:00,0,0,121
NatWest Business,@adz1972 I'm really sorry the bankline team were closed. Please start a chat with Cora here to speak to our business team via our digital messaging service: https://t.co/r56cDvilN0,,,"[{'display_url': 'natwest.com/business/suppo…', 'expanded_url': 'https://www.natwest.com/business/support-centre/contact-us.html', 'url': 'https://t.co/r56cDvilN0', 'indices': [157, 180]}]",2024-09-19 17:01:22+00:00,0,0,329
Chris Tidey,"@adz1972 @NatWestBusiness My card has been cancelled after I tried to approve payments to staff that have to go through. Helpdesk closed at 5pm, no idea how to resolve this now",,,[],2024-09-19 16:21:36+00:00,0,0,62
Dr B,@NatWestBusiness No ... that's OK... it came back up at 17.21pm,,,[],2024-09-19 16:39:59+00:00,0,0,58
Adam Parkins,"@NatWestBusiness Had a nice conversation with one of your utterly pointless bots, I've got staff to pay it needs sorting now.",,,[],2024-09-19 16:13:16+00:00,0,0,89
Nishtha Goel,@NatWest_Help can someone from the team at NatWest business help with my query. Have raised complaint but there is no proactive resolution to the query that needs urgent attention.,,,[],2024-09-19 13:37:57+00:00,0,0,51
NatWest Business,"Our latest Regional Growth Tracker outlines economic growth trends, cost pressures and business output across all nations and regions of the UK. Watch as our Chief Economist Sebastian Burnside dives into the latest insights. 
 
Click here to learn more: https://t.co/k6DdKtjboO https://t.co/hXcUrBpAgW",,,"[{'display_url': 'spkl.io/6012f8TbI', 'expanded_url': 'http://spkl.io/6012f8TbI', 'url': 'https://t.co/k6DdKtjboO', 'indices': [254, 277]}]",2024-09-12 16:00:27+00:00,1,0,703
Tyl by NatWest,We're currently experiencing a service outage and working hard to resolve this. We apologise for any inconvenience and appreciate your patience.,,,[],2024-09-12 10:37:05+00:00,0,2,2359
Springfields.co.uk,@NatWestBusiness @TylByNatWest @NatWestBusiness  Your lack of response to this tweet tends to strengthen my position that you've had some kind of serious breach. Are our funds from yesterday safe?,,,[],2024-09-12 11:57:51+00:00,0,0,69
Springfields.co.uk,"@TimStephenson @TylByNatWest @NatWest_Help @NatWestBusiness An expected timeline would be helpful, if you suffered some kind of breach and it's going to take days to get back online we need to know ASAP.",,,[],2024-09-12 11:08:17+00:00,0,1,130
NatWest Business,"Here are some tips on how to help your charity or voluntary organisation run more smoothly. 

https://t.co/rIPjaMsVrd https://t.co/bJUaPPwYLi",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/sector-trends/public-sector-and-society/tips-to-help-your-charity-run-more-smoothly.html', 'url': 'https://t.co/rIPjaMsVrd', 'indices': [94, 117]}]",2024-09-06 12:15:01+00:00,2,0,664
Paul Bristow,"I set up a @NatWestBusiness account 14 years ago and had a superb service. 

I applied for a new business account weeks ago and still I wait. This has cost me clients, it’s embarrassing and I am repeatedly lied to.

Why @NatWest_Help have you become so incompetent?",,,[],2024-08-27 13:37:58+00:00,0,0,978
