username,text,thumbnail_title,thumbnail_url,tweet_url,created_at,retweets,likes,views
NatWest Business,"For Global Entrepreneurship Week 2024 we spoke to Lily Wolstenhome, an entrepreneur with the NatWest Accelerator.

Read the full interview: https://t.co/Z2M6pfzqhc

#FemaleEntrepeneur #Entrepreneur #GEW2024 https://t.co/DQCCXwT8qL",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/gew-2024-the-manchester-start-up-taking-on-greenwashing.html', 'url': 'https://t.co/Z2M6pfzqhc', 'indices': [140, 163]}]",2024-11-22 14:42:10+00:00,2,2,888
NatWest Business,"The Autumn Budget was bigger than any in recent memory and delivered a combination of targeted investments in the UK and tax hikes. Will the former outweigh the latter in getting businesses investing? 

Read our take here 👇https://t.co/Y9PKWPsDcl

#ukeconomy #autumnbudget https://t.co/oZ9rJDRf4z",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/economics/economic-outlook/the-uk-autumn-budget-2024-will-it-get-businesses-investing.html', 'url': 'https://t.co/Y9PKWPsDcl', 'indices': [223, 246]}]",2024-11-01 15:00:02+00:00,1,1,753
NatWest Business,"🧰 How might the Chancellor’s Budget deliver for UK businesses and shape the economic outlook? 👇

Join our interactive webinar on Thursday 31 October at 4PM to find out! 

REGISTER TODAY: https://t.co/mIPLwOnnLd

#AutumnBudget #UKEconomy https://t.co/EvXiu1XaeO",,,"[{'display_url': 'spkl.io/6013fribS', 'expanded_url': 'http://spkl.io/6013fribS', 'url': 'https://t.co/mIPLwOnnLd', 'indices': [187, 210]}]",2024-10-29 16:29:04+00:00,3,0,616
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while confidence in growth continues. 

There's lots more important insight for SMEs in the report: https://t.co/SZueAtlvI6 https://t.co/IKNrtbe1ub",,,"[{'display_url': 'spkl.io/6011fR2hU', 'expanded_url': 'http://spkl.io/6011fR2hU', 'url': 'https://t.co/SZueAtlvI6', 'indices': [210, 233]}]",2024-10-24 13:44:02+00:00,1,0,464
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while new work and employment numbers continued to grow. 

There's lots more important insight for SMEs in the report: https://t.co/2E5XGb6AHj https://t.co/0FjctcGlAX",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/sme-growth-tracker-new-business-recruitment-continue-to-grow.html', 'url': 'https://t.co/2E5XGb6AHj', 'indices': [229, 252]}]",2024-10-23 10:11:01+00:00,2,1,361
NatWest Business,"Our SME Growth Tracker shows that activity at small and medium-sized businesses fell marginally in September, while new work and employment numbers continued to grow. 

There's lots more important insight for SMEs in the report: https://t.co/MuG9w5eA07 https://t.co/XhkiJGE7Aj",,,"[{'display_url': 'spkl.io/6011fRdDv', 'expanded_url': 'http://spkl.io/6011fRdDv', 'url': 'https://t.co/MuG9w5eA07', 'indices': [229, 252]}]",2024-10-21 13:08:23+00:00,2,0,362
NatWest Business,"Team GB sprinter Ashleigh Nelson shared what Black History Month means to her, how pride drives her, and why business owners should take pride in their discipline.

Read her entertaining interview here: https://t.co/e8j7LKuvVW https://t.co/T1Mr5LwaGO",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/ashleigh-nelsons-pride-and-passion-for-black-history-month.html', 'url': 'https://t.co/e8j7LKuvVW', 'indices': [203, 226]}]",2024-10-14 10:35:02+00:00,0,1,378
NatWest Business,"The latest report from Social &amp; Community Capital shows UK social enterprises benefited from a £2m boost facilitated by the charity, set up by NatWest in 1999.

Read the highlights of the report and download the full version here:

https://t.co/OmIAtbvTad https://t.co/cYUGp1b054",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/scc-report-shows-uk-social-enterprises-benefited-from-2m-boost.html', 'url': 'https://t.co/OmIAtbvTad', 'indices': [236, 259]}]",2024-09-25 10:05:24+00:00,2,1,667
NatWest Business,"Our latest Regional Growth Tracker outlines economic growth trends, cost pressures and business output across all nations and regions of the UK. Watch as our Chief Economist Sebastian Burnside dives into the latest insights. 
 
Click here to learn more: https://t.co/k6DdKtjboO https://t.co/hXcUrBpAgW",,,"[{'display_url': 'spkl.io/6012f8TbI', 'expanded_url': 'http://spkl.io/6012f8TbI', 'url': 'https://t.co/k6DdKtjboO', 'indices': [254, 277]}]",2024-09-12 16:00:27+00:00,1,0,703
NatWest Business,"Here are some tips on how to help your charity or voluntary organisation run more smoothly. 

https://t.co/rIPjaMsVrd https://t.co/bJUaPPwYLi",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/sector-trends/public-sector-and-society/tips-to-help-your-charity-run-more-smoothly.html', 'url': 'https://t.co/rIPjaMsVrd', 'indices': [94, 117]}]",2024-09-06 12:15:01+00:00,2,0,664
NatWest Business,"Our latest Regional Growth Tracker outlines economic growth trends, cost pressures and business output across all nations and regions of the UK.

Watch below as our Chief Economist Sebastian Burnside dives into the latest insights. 
 
https://t.co/KWxSjpc4rw https://t.co/5GSFcetgCk",,,"[{'display_url': 'spkl.io/6017f61Fc', 'expanded_url': 'http://spkl.io/6017f61Fc', 'url': 'https://t.co/KWxSjpc4rw', 'indices': [235, 258]}]",2024-08-16 11:00:10+00:00,1,0,760
NatWest Business,"Apply to our Accelerator programme and get coaching and mentoring, plus access to free co-working spaces, a network of specialists and exclusive events. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/iR9FQwvZTT",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [153, 176]}]",2024-08-09 14:55:08+00:00,1,0,620
NatWest Business,"Check out Beth Tweddle on the NatWest Business Show podcast. 

In this episode of our Team GB mini-series the former World Champion gymnast talks to Angellica Bell about competition and failure.

Watch: https://t.co/pJyed1kbV3

Or listen on Spotify: https://t.co/c7xo2nm8rl https://t.co/RVMVf7meKH",,,"[{'display_url': 'spkl.io/60124hiL4', 'expanded_url': 'http://spkl.io/60124hiL4', 'url': 'https://t.co/pJyed1kbV3', 'indices': [203, 226]}, {'display_url': 'spkl.io/60134hiLf', 'expanded_url': 'http://spkl.io/60134hiLf', 'url': 'https://t.co/c7xo2nm8rl', 'indices': [250, 273]}]",2024-08-07 13:10:48+00:00,3,2,2034
NatWest Business,"Find out how biometrics can make your business more secure while speeding up transactions for improved customer experience. Read more here. 

https://t.co/V4hspXtR1Y https://t.co/5YVsgUDC2C",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/why-biometrics-is-key-to-staying-safe-online.html', 'url': 'https://t.co/V4hspXtR1Y', 'indices': [142, 165]}]",2024-08-01 11:52:15+00:00,2,1,479
NatWest Business,Calling ambitious entrepreneurs! Join our Accelerator programme to help grow your business. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/XM1yOw2C5X,,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [92, 115]}]",2024-07-31 14:55:02+00:00,0,1,382
NatWest Business,"Episode three of the current series of the NatWest Business Show podcast stars sports agent Deji Akande. 

Deji talks to Angellica Bell all about the art of talent management. 

Tune in here: https://t.co/M32fdhfgoW https://t.co/AY1ztbZSAB",,,"[{'display_url': 'youtu.be/HYDIoEr4Ie8', 'expanded_url': 'https://youtu.be/HYDIoEr4Ie8', 'url': 'https://t.co/M32fdhfgoW', 'indices': [192, 215]}]",2024-07-31 14:36:20+00:00,0,1,399
NatWest Business,"Have you caught up with Series 5 of the NatWest Business Show yet? It's our Team GB special. 

The first two episodes with Sir Chris Hoy and Alice Dearing are already live.

Watch or listen to all episodes here: https://t.co/bIhgDP0ELz https://t.co/IGVZkzw3Ti",,,"[{'display_url': 'spkl.io/60114C0fT', 'expanded_url': 'http://spkl.io/60114C0fT', 'url': 'https://t.co/bIhgDP0ELz', 'indices': [212, 235]}]",2024-07-26 15:53:42+00:00,1,0,802
NatWest Business,"Verona Johnstone-Hulse, UK Government Affairs &amp; Global Institutions Engagement Lead at NCC Group, outlines what manufacturers, developers, and vendors need to know about the Cyber Resilience Act. Read her insights here: https://t.co/bMTKTUXEme #EUregulation https://t.co/ZbbA3PkmPm",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/sector-trends/technology-media-and-telecoms/preparing-for-the-eu-cyber-resilience-act.html', 'url': 'https://t.co/bMTKTUXEme', 'indices': [224, 247]}]",2024-07-25 15:00:02+00:00,1,1,432
NatWest Business,"Explore our Accelerator programme and you could fast track your business with free coaching, seminars, mentors and more. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/G6emwC8frK",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [121, 144]}]",2024-07-24 14:55:02+00:00,1,0,346
NatWest Business,"Today sees the publication of the UK version of the Global Entrepreneurship Monitor (GEM) report.

Read the article to see the key takeaways and download this special edition, looking at the last 25 years of entrepreneurial activity in the UK.

https://t.co/S32OvxnuM9 https://t.co/n0iRezLLdA",,,"[{'display_url': 'spkl.io/60134CWwN', 'expanded_url': 'http://spkl.io/60134CWwN', 'url': 'https://t.co/S32OvxnuM9', 'indices': [245, 268]}]",2024-07-23 13:07:15+00:00,0,0,370
NatWest Business,"In the latest episode of Beyond the Podium, three-time Olympic champion cyclist Ed Clancy speaks on the importance of focus, goal setting, resilience, and celebrating your wins. Check it out! #resilience #leadership 
https://t.co/EpWrlFajIP https://t.co/7DdGDpnm10",,,"[{'display_url': 'youtube.com/watch?v=KnnFq8…', 'expanded_url': 'https://www.youtube.com/watch?v=KnnFq8xKj3g', 'url': 'https://t.co/EpWrlFajIP', 'indices': [217, 240]}]",2024-07-22 14:00:02+00:00,1,0,349
NatWest Business,"When the owners of communications business TMC decided to turn a disused retail store into a new office and collaboration hub, we were there to help. Read how we supported them:
https://t.co/q2LotjgTy0

#NatWest #Retrofit #FamilyBusiness https://t.co/nrgNnD6i0t",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/building-a-local-resource-for-collaboration.html', 'url': 'https://t.co/q2LotjgTy0', 'indices': [178, 201]}]",2024-07-19 15:47:30+00:00,1,0,383
NatWest Business,"This week's Beyond the Podium episode sees British jockey and former Olympic champion track cyclist Victoria Pendleton share the importance of female role models – 
in sport and in business. Check it out! https://t.co/EjHBH452hZ

#leadership #womeninbusiness #TeamGB https://t.co/YujPVh85af",,,"[{'display_url': 'youtu.be/TWQoI_Q3zyw?si…', 'expanded_url': 'https://youtu.be/TWQoI_Q3zyw?si=3rul9naDcfNvbow-', 'url': 'https://t.co/EjHBH452hZ', 'indices': [205, 228]}]",2024-07-18 13:00:03+00:00,1,0,443
NatWest Business,"Apply to our Accelerator programme and get coaching and mentoring, plus access to free co-working spaces, a network of specialists and exclusive events. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/uMRHipIUZz",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [153, 176]}]",2024-07-17 14:55:06+00:00,4,2,512
NatWest Business,"With fraud and scams targeting different areas of the education sector, we speak to our fraud specialist to get the latest insight and advice.

https://t.co/uQPREsJ4lZ https://t.co/4GlEiX4qxe",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/is-your-school-safe-from-fraudsters.html', 'url': 'https://t.co/uQPREsJ4lZ', 'indices': [144, 167]}]",2024-07-11 13:07:02+00:00,1,0,441
NatWest Business,"As a business owner, cashflow is key to maintaining a healthy balance sheet. Helen Glover speaks candidly about the point when she realised it was time to budget and plan ahead to reach her goals.

https://t.co/a5cw8aJ6HU https://t.co/04BurT8hdG",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/finances/cash-flow/helen-glover-on-budgeting-and-savings-goals.html', 'url': 'https://t.co/a5cw8aJ6HU', 'indices': [198, 221]}]",2024-07-10 08:56:57+00:00,2,0,373
NatWest Business,Access exclusive benefits with our award-winning Accelerator programme. (Beauhurst 2022) https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/K0WDTUZnU5,,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [89, 112]}]",2024-07-08 14:55:12+00:00,4,1,528
NatWest Business,"Retrofitting non-domestic buildings can make commercial sense and help accelerate the journey to net zero. Read our article to find out if it might be an option for your business:
https://t.co/2KsjrclTFm

#retrofit #property #construction #netzero https://t.co/JDlSJafU4E",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/sector-trends/real-estate/scaling-up-retrofit-in-non-domestic-buildings.html', 'url': 'https://t.co/2KsjrclTFm', 'indices': [180, 203]}]",2024-07-05 16:05:52+00:00,1,2,424
NatWest Business,"Decarbonisation presents huge opportunities for the transportation sector, but there are many challenges on the road to net zero. Read our key takeaways from a recent panel discussion on the topic here:
https://t.co/WQNYq47LdX

#transport #mobility #netzero https://t.co/GoPZAsjoZv",,,"[{'display_url': 'natwest.com/corporates/ins…', 'expanded_url': 'https://www.natwest.com/corporates/insights/sustainability/driving-the-automotive-transition.html', 'url': 'https://t.co/WQNYq47LdX', 'indices': [203, 226]}]",2024-07-01 11:55:37+00:00,0,2,384
NatWest Business,"Measuring and maintaining biodiversity is a requirement for many organisations. Read how a UK business is using satellite and AI technology to deliver the crucial data: https://t.co/au72Cjqr62

#Climate #AI #Biodiversity https://t.co/6yMnZrEBII",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/sustainability/climate/using-ai-and-satellites-to-measure-biodiversity.html', 'url': 'https://t.co/au72Cjqr62', 'indices': [169, 192]}]",2024-07-01 09:40:12+00:00,3,2,362
NatWest Business,"Get off to a flying start. Our Accelerator programme offers coaching, mentoring and networking opportunities. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/EM5tzd60mB",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [110, 133]}]",2024-06-28 14:55:11+00:00,4,3,433
NatWest Business,"We've had a great day at the NACFB Expo and had some amazing discussions with so many fantastic brokers.  We're already looking forward to next year!  Find out how we support business brokers here: https://t.co/cOM0ZVHAZI

#NACFB2023 #CommercialFinance https://t.co/qWbu4pDrSg",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/brokers.html', 'url': 'https://t.co/cOM0ZVHAZI', 'indices': [198, 221]}]",2024-06-26 15:30:08+00:00,1,1,440
NatWest Business,We're at the NEC in Birmingham for NACFB 2024. If you're at the event be sure to come and say hi to us at our stand! #NACFBExpo #CommercialFinance https://t.co/qBgVpc5IxM,,,[],2024-06-26 10:53:16+00:00,1,2,483
NatWest Business,"Are you checking in on staff wellbeing regularly? It can be important to provide open communication and resources both to create a supportive culture – and tackle fraud.

https://t.co/yEPDEjhoc6 https://t.co/zJ5HCQdo3O",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/why-monitoring-staff-wellbeing-could-help-prevent-fraud.html', 'url': 'https://t.co/yEPDEjhoc6', 'indices': [171, 194]}]",2024-06-21 10:04:01+00:00,1,1,376
NatWest Business,"Apply to our Accelerator programme and get coaching and mentoring, plus access to free co-working spaces, a network of specialists and exclusive events. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/VTrkTMpHwD",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [153, 176]}]",2024-06-18 14:55:10+00:00,3,1,407
NatWest Business,"Apply to our Accelerator programme and get coaching and mentoring, plus access to free co-working spaces, a network of specialists and exclusive events. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/Bwor4Rk94n",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [153, 176]}]",2024-06-11 14:55:12+00:00,3,1,533
NatWest Business,"Good luck to all the finalists of the Asian Women of Achievement Awards - now in its 25th year. The awards celebrate remarkable women and their invaluable contribution to business and society. 
@awaawardsuk

#AWA2024 https://t.co/mOWICqG4jH",,,[],2024-06-06 10:12:03+00:00,1,3,584
NatWest Business,"Apply to our Accelerator programme and get coaching and mentoring, plus access to free co-working spaces, a network of specialists and exclusive events. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/f2FtefpWkE",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [153, 176]}]",2024-06-04 14:55:08+00:00,4,2,476
NatWest Business,Cashback when you spend at selected retailers with the NatWest debit card and Mastercard Business Savings.  https://t.co/yv0e1IFG2b https://t.co/KQiHwNSooP,,,"[{'display_url': 'spkl.io/60154f36H', 'expanded_url': 'http://spkl.io/60154f36H', 'url': 'https://t.co/yv0e1IFG2b', 'indices': [108, 131]}]",2024-05-31 10:59:20+00:00,2,1,463
NatWest Business,"Our behavioural scientists remind us of the importance of building trust within the workplace. They show us how we can learn from popular sports teams like the Lionesses and All Blacks, which thrive by using trust to empower team members.

https://t.co/ofGq9nsKaX https://t.co/TNvVSt1vJM",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/workforce-support/why-high-levels-of-trust-result-in-high-performing-teams.html', 'url': 'https://t.co/ofGq9nsKaX', 'indices': [240, 263]}]",2024-05-29 15:15:02+00:00,0,0,509
NatWest Business,"Get off to a flying start. Apply for our free, six-month Accelerator programme today. https://t.co/5Xy9UGj8wR #NatWestAccelerator https://t.co/O1AzR6z6CU",,,"[{'display_url': 'natwest.com/business/busin…', 'expanded_url': 'https://www.natwest.com/business/business-services/entrepreneur-accelerator.html', 'url': 'https://t.co/5Xy9UGj8wR', 'indices': [86, 109]}]",2024-05-28 14:55:10+00:00,1,1,3713
NatWest Business,"Our customer experience specialist offers insight on how to boost customer confidence by focusing on areas like security, trust, accessibility and education. 

https://t.co/xHpjWgYKiG https://t.co/LR0Jy7LTdG",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/innovation/could-you-improve-your-digital-customer-experience-strategy.html', 'url': 'https://t.co/xHpjWgYKiG', 'indices': [160, 183]}]",2024-05-22 14:45:13+00:00,0,0,1206
NatWest Business,We’re delighted to sponsor The Prince’s Trust Enterprise Award for the 20th year. We wish all of this year's finalists the very best of luck at today's @PrincesTrust national awards. https://t.co/nnVZMwlDYB,,,[],2024-05-21 08:02:08+00:00,1,3,3943
NatWest Business,"Read how this engineering company invested in state-of-the-art laser equipment to help save energy and reduce costs:
https://t.co/kIB76IFwoR https://t.co/yGYwZ3h26u",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/finances/funding/investing-to-save-energy-and-reduce-costs.html', 'url': 'https://t.co/kIB76IFwoR', 'indices': [117, 140]}]",2024-05-16 14:26:14+00:00,6,2,801
NatWest Business,"For our latest Beyond the Podium interview we caught up with Team GB canoe slalom specialist Adam Burgess. He told us how he manages pressure as an athlete and in his own business. 

https://t.co/ubIdDDW8o4 https://t.co/ZHqanybGnD",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/beyond-the-podium-with-team-gbs-adam-burgess.html', 'url': 'https://t.co/ubIdDDW8o4', 'indices': [183, 206]}]",2024-05-15 12:37:25+00:00,2,1,603
NatWest Business,"Our #fraud specialist reveals the steps taken to steal a total of £490,000 in this real-life example of #InvestmentFraud. https://t.co/VE6peJVUwu",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/how-investment-fraud-could-impact-your-business.html', 'url': 'https://t.co/VE6peJVUwu', 'indices': [122, 145]}]",2024-05-09 12:50:18+00:00,3,1,519
NatWest Business,"RT @DCATSolutions: Following the success of #innovationzero, we are pleased to announce our partnership with #natwest to bring a quick and…",,,[],2024-05-09 11:01:04+00:00,2,0,
NatWest Business,Do more business in the Mobile Banking App. Discover new and improved features for business banking on the go. https://t.co/LyIZZp8cZF https://t.co/DRAfoJ8Hvf,,,"[{'display_url': 'spkl.io/60144N9dk', 'expanded_url': 'http://spkl.io/60144N9dk', 'url': 'https://t.co/LyIZZp8cZF', 'indices': [111, 134]}]",2024-05-08 08:22:02+00:00,2,2,532
NatWest Business,"UPDATE: Get a summary of the latest Purchasing Managers’ Index reports for England &amp; Wales.  Click through for insights on latest business activity levels.

https://t.co/7n9eKuxh04 https://t.co/niHqV95t7m",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/economics/economic-outlook/purchasing-managers-index-reports/pmi-report-for-march-2024.html', 'url': 'https://t.co/7n9eKuxh04', 'indices': [161, 184]}]",2024-04-18 14:54:21+00:00,7,1,676
NatWest Business,"Are you up to date on the latest changes to holiday entitlement, and the option for rolled-up pay, for irregular hours and part-year workers?

https://t.co/hjImDGrdCD https://t.co/qtpuidM9g2",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/business-management/business-strategy/new-regulations-set-to-shake-up-holiday-entitlement-and-pay.html', 'url': 'https://t.co/hjImDGrdCD', 'indices': [143, 166]}]",2024-04-17 10:54:02+00:00,1,1,462
NatWest Business,"Watch to see how our free Carbon Planner tool is helping an IT business reach its emissions goals. 

Could Carbon Planner help your business? Find out more here: https://t.co/Gem3ajGKpf https://t.co/FzJWqiiPcM",,,"[{'display_url': 'natwest.com/business/green…', 'expanded_url': 'https://www.natwest.com/business/green-banking/carbon-planner.html', 'url': 'https://t.co/Gem3ajGKpf', 'indices': [162, 185]}]",2024-04-17 10:53:04+00:00,1,1,403
NatWest Business,"Why the British should stop being so polite and make the right call when dealing with phone scams.

https://t.co/lPyfeVzbkh https://t.co/uXlHQyj89r",,,"[{'display_url': 'natwest.com/business/insig…', 'expanded_url': 'https://www.natwest.com/business/insights/technology/fraud/fending-off-phone-scams.html', 'url': 'https://t.co/lPyfeVzbkh', 'indices': [100, 123]}]",2024-04-17 08:34:02+00:00,0,1,360
NatWest Business,"RT @freeagent: Small businesses! 📣 We’ll soon be welcoming in a #NewTaxYear - and with it, a host of tax changes to wrap our heads around 🤯…",What’s changing for small businesses in the 2024/25 tax year?,https://pbs.twimg.com/card_img/1885668228329766912/c80FSMUU?format=png&name=orig,[],2024-04-08 11:21:33+00:00,3,0,
