username,text,thumbnail_title,thumbnail_url,tweet_url,created_at,retweets,likes,views
Audrey Ludwig,@NatWest_Help Your system Cora is hopeless. I had payment for an online item refused (despite there being money and usual computer.We went round and round with it not getting the point. It’s not complicated to understand I want to buy something so don’t want payment declined.,,,[],2025-02-02 17:35:01+00:00,0,2,514
Sarah,@NatWest_Help how have I been on hold for 55 minutes and no one is answering and your online chat took 7 hours to reply to me ?? how do I acc speak to someone,,,[],2025-02-03 17:14:25+00:00,0,0,30
x KeepEyesOnSudan 🇸🇩🤝🏾🇵🇸,"@NatWest_Help using the correct login details and I’ve been locked out. Tried to reregister for online banking - finished it - and was given an error page. Are you guys down, or??? Bc Cora isn’t being helpful either",,,[],2025-02-01 16:49:42+00:00,0,0,96
World Carrot Museum 🥕,"@NatWest_Help  Can you please tell me if the Keighley Branch still has a Coinstar type machine to deposit coins, and whether it is still free to use for Natwest customers?",,,[],2025-02-03 10:56:04+00:00,0,0,76
Queen Vixsta,"@NatWest_Help  - how can I contact you about my husbands account? His phone has messages that his account is overdrawn but he is currently on life support, I don’t have the details so I need to speak to somebody but everything is automated",,,[],2025-02-03 14:53:48+00:00,0,1,56
🫧⚒️Jane ⚒️🫧,Absolutely can not fault the @NatWest_Help breakdown recovery service provided by the @TheAA_UK . Top class. Call out and recovered in three legs from Liverpool to home (260 miles) plus 3 days car hire all for zilch🤩,,,[],2025-02-03 14:45:46+00:00,0,1,260
Matthew Spragg,"@NatWest_Help, please can you help. My place of work should have payed me my wages on Friday and haven't, yet head office are saying it has gone threw",,,[],2025-02-03 14:20:52+00:00,0,0,36
Sally Abingdon,@NatWest_Help why has my transaction not gone through? It’s been over an hour,,,[],2025-01-31 12:59:32+00:00,0,0,121
Adam White,@NatWest_Help i need a response on cora quickly as you have blocked my card in china and i cannot call customer service,,,[],2025-02-03 10:05:12+00:00,0,0,70
Hannah-Louise 🖤🕷,@NatWest_Help are you guys down like Barclays? I was due my wages on Friday. My manager said the system said it was sent. But I haven’t received anything. 😭,,,[],2025-02-03 09:59:20+00:00,0,1,267
❤️’K,Is there an issue with completing online transactions @NatWest_Help ?,,,[],2025-02-03 09:44:12+00:00,0,0,321
Ahmed,@NatWest_Help hi there I can't login into my natwest app on my samsung s24 ultra. I have the latest app. Is there an issue going around that I am not aware of?,,,[],2025-02-03 09:15:15+00:00,0,0,110
Steve Hunt,"@NatWest_Help Hi, have moved some money from one account to another and the money has disappeared",,,[],2025-02-03 07:34:56+00:00,0,0,195
David,"@NatWest_Help I’m a mortgage customer and I recently ported my mortgage to a new account and the app kicked me out. In the process, I’ve lost my customer number. How can I recover it?",,,[],2025-02-03 07:32:08+00:00,0,0,145
Mr Gouldthorpe,@NatWest_Help seen as 'cora' is awful. Who do I contact about my mortgage? Today was the start of my remortgage but you have taken the old amount that I was previously getting charged and not the new lower amount.,,,[],2025-02-03 07:30:08+00:00,0,0,122
Akhlaq Hanif,"@NatWest_Help Hi, I've had to reset my app and it's asking me to log in with various details that I can't remember. How to resolve this and get logged in?",,,[],2025-02-02 19:47:32+00:00,0,0,117
NatWest,"@AudreySuffolk I'm sorry to hear about this Audrey, Like ourselves our bot Cora isn't perfect 100% of the time, I'd love see if this decline you're having is something I can help further with at all 😊

Can you just pop me a DM with your full name, sort code and post code? 🔍
~Rachel",,,[],2025-02-02 17:42:45+00:00,0,0,82
NatWest,@Stacxyy Here's the link you need; https://t.co/BbmcXsMXyM,,,"[{'display_url': 'x.com/messages/compo…', 'expanded_url': 'https://x.com/messages/compose?recipient_id=284540385', 'url': 'https://t.co/BbmcXsMXyM', 'indices': [35, 58]}]",2025-02-02 14:49:19+00:00,0,0,56
NatWest,"@Stacxyy Hi 👏 

How are you today?

Can you pop me through a DM with your full name, sort code, post code and a little more information about what happens when you try to log in? 

Let me know. 😊

- Lauren.",,,[],2025-02-02 14:49:11+00:00,0,0,68
NatWest,"@BAEteria Join me in DM with your full name, sort code &amp; post code and I'll certainly take a look into this for you. - John https://t.co/BbmcXsMXyM",,,"[{'display_url': 'x.com/messages/compo…', 'expanded_url': 'https://x.com/messages/compose?recipient_id=284540385', 'url': 'https://t.co/BbmcXsMXyM', 'indices': [128, 151]}]",2025-02-02 11:42:05+00:00,0,3,54
